"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:07:15.4199823","MemCompression","1916","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 173.8437500 seconds, Private Bytes: 1,359,872, Working Set: 59,252,736"
"23:07:15.4199962","svchost.exe","1936","Process Profiling","","SUCCESS","User Time: 0.5937500 seconds, Kernel Time: 0.6250000 seconds, Private Bytes: 2,396,160, Working Set: 8,515,584"
"23:07:15.4200448","nvxdsync.exe","1944","Process Profiling","","SUCCESS","User Time: 3.6250000 seconds, Kernel Time: 0.7500000 seconds, Private Bytes: 12,742,656, Working Set: 18,739,200"
"23:07:15.4200644","svchost.exe","1980","Process Profiling","","SUCCESS","User Time: 0.1093750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 1,966,080, Working Set: 7,454,720"
"23:07:15.4200796","igfxCUIService.exe","1048","Process Profiling","","SUCCESS","User Time: 0.3437500 seconds, Kernel Time: 0.7343750 seconds, Private Bytes: 5,746,688, Working Set: 8,134,656"
"23:07:15.4200948","svchost.exe","1836","Process Profiling","","SUCCESS","User Time: 0.5000000 seconds, Kernel Time: 1.2812500 seconds, Private Bytes: 4,943,872, Working Set: 11,440,128"
"23:07:15.4201800","svchost.exe","2068","Process Profiling","","SUCCESS","User Time: 0.1718750 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 1,966,080, Working Set: 7,049,216"
"23:07:15.4202041","svchost.exe","2076","Process Profiling","","SUCCESS","User Time: 2.2343750 seconds, Kernel Time: 0.8281250 seconds, Private Bytes: 2,166,784, Working Set: 8,323,072"
"23:07:15.4202188","svchost.exe","2196","Process Profiling","","SUCCESS","User Time: 4.8593750 seconds, Kernel Time: 2.0156250 seconds, Private Bytes: 11,173,888, Working Set: 12,058,624"
"23:07:15.4202327","svchost.exe","2220","Process Profiling","","SUCCESS","User Time: 1.6250000 seconds, Kernel Time: 1.5937500 seconds, Private Bytes: 3,248,128, Working Set: 9,035,776"
"23:07:15.4202469","svchost.exe","2284","Process Profiling","","SUCCESS","User Time: 0.6718750 seconds, Kernel Time: 0.5468750 seconds, Private Bytes: 3,207,168, Working Set: 11,747,328"
"23:07:15.4202608","svchost.exe","2456","Process Profiling","","SUCCESS","User Time: 2.0625000 seconds, Kernel Time: 3.1093750 seconds, Private Bytes: 4,435,968, Working Set: 8,851,456"
"23:07:15.4202733","svchost.exe","2464","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 1,740,800, Working Set: 5,689,344"
"23:07:15.4202876","svchost.exe","2484","Process Profiling","","SUCCESS","User Time: 0.3750000 seconds, Kernel Time: 0.3593750 seconds, Private Bytes: 4,374,528, Working Set: 14,180,352"
"23:07:15.4203005","svchost.exe","2540","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 2,019,328, Working Set: 9,289,728"
"23:07:15.4203161","svchost.exe","2568","Process Profiling","","SUCCESS","User Time: 9.3437500 seconds, Kernel Time: 8.1250000 seconds, Private Bytes: 10,711,040, Working Set: 20,381,696"
"23:07:15.4203304","svchost.exe","2596","Process Profiling","","SUCCESS","User Time: 7.3437500 seconds, Kernel Time: 1.7968750 seconds, Private Bytes: 3,457,024, Working Set: 10,362,880"
"23:07:15.4203438","svchost.exe","2776","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.8125000 seconds, Private Bytes: 1,953,792, Working Set: 7,049,216"
"23:07:15.4203576","svchost.exe","2812","Process Profiling","","SUCCESS","User Time: 0.5312500 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 2,793,472, Working Set: 8,077,312"
"23:07:15.4203719","svchost.exe","2952","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.4375000 seconds, Private Bytes: 6,156,288, Working Set: 13,737,984"
"23:07:15.4203853","svchost.exe","3052","Process Profiling","","SUCCESS","User Time: 0.1718750 seconds, Kernel Time: 0.6406250 seconds, Private Bytes: 2,674,688, Working Set: 11,395,072"
"23:07:15.4204000","svchost.exe","3068","Process Profiling","","SUCCESS","User Time: 0.1093750 seconds, Kernel Time: 0.1250000 seconds, Private Bytes: 2,727,936, Working Set: 12,255,232"
"23:07:15.4204156","spoolsv.exe","3096","Process Profiling","","SUCCESS","User Time: 0.2187500 seconds, Kernel Time: 0.7812500 seconds, Private Bytes: 6,316,032, Working Set: 12,746,752"
"23:07:15.4204299","svchost.exe","3180","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 2,068,480, Working Set: 7,196,672"
"23:07:15.4204442","svchost.exe","3304","Process Profiling","","SUCCESS","User Time: 0.2656250 seconds, Kernel Time: 0.2656250 seconds, Private Bytes: 4,263,936, Working Set: 13,406,208"
"23:07:15.4204602","DbxSvc.exe","3368","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 2,609,152, Working Set: 4,575,232"
"23:07:15.4204736","esif_uf.exe","3380","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 1,929,216, Working Set: 5,804,032"
"23:07:15.4204884","mDNSResponder.exe","3388","Process Profiling","","SUCCESS","User Time: 0.3750000 seconds, Kernel Time: 0.9843750 seconds, Private Bytes: 1,949,696, Working Set: 6,078,464"
"23:07:15.4205018","AppleMobileDeviceService.exe","3400","Process Profiling","","SUCCESS","User Time: 2.9531250 seconds, Kernel Time: 4.1250000 seconds, Private Bytes: 3,653,632, Working Set: 9,236,480"
"23:07:15.4205183","svchost.exe","3408","Process Profiling","","SUCCESS","User Time: 9.1718750 seconds, Kernel Time: 7.6250000 seconds, Private Bytes: 36,249,600, Working Set: 24,506,368"
"23:07:15.4206325","FoxitConnectedPDFService.exe","3416","Process Profiling","","SUCCESS","User Time: 2.1562500 seconds, Kernel Time: 7.2812500 seconds, Private Bytes: 4,071,424, Working Set: 12,169,216"
"23:07:15.4207084","HeciServer.exe","3428","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 1,564,672, Working Set: 6,156,288"
"23:07:15.4207838","svchost.exe","3436","Process Profiling","","SUCCESS","User Time: 0.1093750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 4,206,592, Working Set: 7,606,272"
"23:07:15.4208083","OfficeClickToRun.exe","3492","Process Profiling","","SUCCESS","User Time: 4.8750000 seconds, Kernel Time: 2.2187500 seconds, Private Bytes: 43,204,608, Working Set: 31,322,112"
"23:07:15.4208828","svchost.exe","3512","Process Profiling","","SUCCESS","User Time: 0.1718750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 2,609,152, Working Set: 5,996,544"
"23:07:15.4209409","PsiService_2.exe","3520","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 1,118,208, Working Set: 3,878,912"
"23:07:15.4209609","svchost.exe","3572","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 4,235,264, Working Set: 7,761,920"
"23:07:15.4209734","svchost.exe","3604","Process Profiling","","SUCCESS","User Time: 4.7343750 seconds, Kernel Time: 5.6406250 seconds, Private Bytes: 10,035,200, Working Set: 25,096,192"
"23:07:15.4210145","ss_conn_service.exe","3628","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 2,191,360, Working Set: 5,636,096"
"23:07:15.4210707","svchost.exe","3652","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 2.4218750 seconds, Private Bytes: 2,375,680, Working Set: 8,335,360"
"23:07:15.4211265","smsvchost.exe","3708","Process Profiling","","SUCCESS","User Time: 0.2187500 seconds, Kernel Time: 0.2031250 seconds, Private Bytes: 25,202,688, Working Set: 15,933,440"
"23:07:15.4211827","svchost.exe","3756","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 1,613,824, Working Set: 5,599,232"
"23:07:15.4212086","SecurityHealthService.exe","3780","Process Profiling","","SUCCESS","User Time: 0.1250000 seconds, Kernel Time: 0.2343750 seconds, Private Bytes: 4,173,824, Working Set: 13,754,368"
"23:07:15.4212769","svchost.exe","3804","Process Profiling","","SUCCESS","User Time: 0.1718750 seconds, Kernel Time: 0.2343750 seconds, Private Bytes: 1,933,312, Working Set: 6,537,216"
"23:07:15.4213688","svchost.exe","3860","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 1,286,144, Working Set: 4,878,336"
"23:07:15.4213956","MsMpEng.exe","3984","Process Profiling","","SUCCESS","User Time: 244.0781250 seconds, Kernel Time: 129.0468750 seconds, Private Bytes: 168,529,920, Working Set: 74,952,704"
"23:07:15.4214085","svchost.exe","4092","Process Profiling","","SUCCESS","User Time: 0.2812500 seconds, Kernel Time: 0.3437500 seconds, Private Bytes: 4,771,840, Working Set: 18,460,672"
"23:07:15.4214799","svchost.exe","4356","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 2,125,824, Working Set: 5,689,344"
"23:07:15.4215576","svchost.exe","4400","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 1,335,296, Working Set: 4,706,304"
"23:07:15.4216562","smsvchost.exe","4676","Process Profiling","","SUCCESS","User Time: 1.4062500 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 29,933,568, Working Set: 28,684,288"
"23:07:15.4216736","NisSrv.exe","1672","Process Profiling","","SUCCESS","User Time: 0.2656250 seconds, Kernel Time: 0.2031250 seconds, Private Bytes: 6,197,248, Working Set: 8,843,264"
"23:07:15.4216981","svchost.exe","5324","Process Profiling","","SUCCESS","User Time: 0.4531250 seconds, Kernel Time: 0.8437500 seconds, Private Bytes: 4,042,752, Working Set: 12,853,248"
"23:07:15.4217138","svchost.exe","148","Process Profiling","","SUCCESS","User Time: 0.4843750 seconds, Kernel Time: 0.6562500 seconds, Private Bytes: 6,995,968, Working Set: 20,795,392"
"23:07:15.4217276","esif_assist_64.exe","2968","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 1,478,656, Working Set: 4,726,784"
"23:07:15.4217414","sihost.exe","3468","Process Profiling","","SUCCESS","User Time: 2.0312500 seconds, Kernel Time: 1.9531250 seconds, Private Bytes: 6,455,296, Working Set: 22,634,496"
"23:07:15.4217553","svchost.exe","3556","Process Profiling","","SUCCESS","User Time: 0.6250000 seconds, Kernel Time: 0.5468750 seconds, Private Bytes: 6,701,056, Working Set: 24,068,096"
"23:07:15.4217695","svchost.exe","3616","Process Profiling","","SUCCESS","User Time: 5.1562500 seconds, Kernel Time: 0.9531250 seconds, Private Bytes: 7,090,176, Working Set: 28,725,248"
"23:07:15.4217843","taskhostw.exe","3764","Process Profiling","","SUCCESS","User Time: 0.5312500 seconds, Kernel Time: 1.1250000 seconds, Private Bytes: 7,041,024, Working Set: 15,978,496"
"23:07:15.4218766","DropboxUpdate.exe","3868","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 1.4218750 seconds, Private Bytes: 2,138,112, Working Set: 36,864"
"23:07:15.4219025","PresentationFontCache.exe","4128","Process Profiling","","SUCCESS","User Time: 0.3750000 seconds, Kernel Time: 0.4687500 seconds, Private Bytes: 30,388,224, Working Set: 18,890,752"
"23:07:15.4219155","svchost.exe","2680","Process Profiling","","SUCCESS","User Time: 5.5937500 seconds, Kernel Time: 2.1718750 seconds, Private Bytes: 3,702,784, Working Set: 14,974,976"
"23:07:15.4219806","svchost.exe","6316","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 1,765,376, Working Set: 7,086,080"
"23:07:15.4219962","ctfmon.exe","6408","Process Profiling","","SUCCESS","User Time: 4.7500000 seconds, Kernel Time: 23.8593750 seconds, Private Bytes: 3,235,840, Working Set: 13,299,712"
"23:07:15.4220270","Explorer.EXE","6744","Process Profiling","","SUCCESS","User Time: 15.7343750 seconds, Kernel Time: 31.8750000 seconds, Private Bytes: 44,908,544, Working Set: 87,977,984"
"23:07:15.4220413","igfxEM.exe","6912","Process Profiling","","SUCCESS","User Time: 0.5781250 seconds, Kernel Time: 3.8281250 seconds, Private Bytes: 3,969,024, Working Set: 11,763,712"
"23:07:15.4220877","igfxHK.exe","6924","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 2,416,640, Working Set: 7,954,432"
"23:07:15.4221069","igfxTray.exe","6944","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.5937500 seconds, Private Bytes: 3,117,056, Working Set: 10,252,288"
"23:07:15.4223099","ShellExperienceHost.exe","6596","Process Profiling","","SUCCESS","User Time: 2.1718750 seconds, Kernel Time: 1.3593750 seconds, Private Bytes: 36,147,200, Working Set: 52,793,344"
"23:07:15.4224005","SearchUI.exe","3112","Process Profiling","","SUCCESS","User Time: 6.2343750 seconds, Kernel Time: 2.3125000 seconds, Private Bytes: 98,807,808, Working Set: 65,208,320"
"23:07:15.4224371","RuntimeBroker.exe","4660","Process Profiling","","SUCCESS","User Time: 0.5312500 seconds, Kernel Time: 0.3593750 seconds, Private Bytes: 5,193,728, Working Set: 18,034,688"
"23:07:15.4224541","nvtray.exe","7244","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.2031250 seconds, Private Bytes: 3,911,680, Working Set: 11,509,760"
"23:07:15.4224693","RuntimeBroker.exe","7456","Process Profiling","","SUCCESS","User Time: 1.2031250 seconds, Kernel Time: 0.9218750 seconds, Private Bytes: 7,110,656, Working Set: 14,565,376"
"23:07:15.4224840","svchost.exe","7564","Process Profiling","","SUCCESS","User Time: 0.5000000 seconds, Kernel Time: 0.2812500 seconds, Private Bytes: 3,493,888, Working Set: 15,441,920"
"23:07:15.4225237","CNAB4RPD.EXE","8008","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 929,792, Working Set: 3,633,152"
"23:07:15.4225384","RuntimeBroker.exe","8116","Process Profiling","","SUCCESS","User Time: 4.7343750 seconds, Kernel Time: 6.8750000 seconds, Private Bytes: 5,771,264, Working Set: 24,109,056"
"23:07:15.4225536","NvBackend.exe","1852","Process Profiling","","SUCCESS","User Time: 1.4218750 seconds, Kernel Time: 0.1093750 seconds, Private Bytes: 6,463,488, Working Set: 10,264,576"
"23:07:15.4225781","SkypeBackgroundHost.exe","8576","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 1,863,680, Working Set: 10,129,408"
"23:07:15.4226768","RemindersServer.exe","8600","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 2,654,208, Working Set: 11,096,064"
"23:07:15.4227321","MSASCuiL.exe","7448","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.1875000 seconds, Private Bytes: 1,982,464, Working Set: 8,777,728"
"23:07:15.4227790","iTunesHelper.exe","8468","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.3906250 seconds, Private Bytes: 4,202,496, Working Set: 13,496,320"
"23:07:15.4228294","jhi_service.exe","5528","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 1,404,928, Working Set: 5,902,336"
"23:07:15.4228709","IDMan.exe","8904","Process Profiling","","SUCCESS","User Time: 0.6406250 seconds, Kernel Time: 0.6875000 seconds, Private Bytes: 8,597,504, Working Set: 19,722,240"
"23:07:15.4229115","LMS.exe","8432","Process Profiling","","SUCCESS","User Time: 0.1718750 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 3,432,448, Working Set: 10,428,416"
"23:07:15.4229271","EVKey64.exe","8400","Process Profiling","","SUCCESS","User Time: 6.3750000 seconds, Kernel Time: 19.8125000 seconds, Private Bytes: 2,445,312, Working Set: 12,808,192"
"23:07:15.4229606","Dropbox.exe","8088","Process Profiling","","SUCCESS","User Time: 29.9843750 seconds, Kernel Time: 21.7343750 seconds, Private Bytes: 135,712,768, Working Set: 78,565,376"
"23:07:15.4229619","iPodService.exe","8812","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 2,363,392, Working Set: 7,499,776"
"23:07:15.4230342","Dropbox.exe","7424","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.4375000 seconds, Private Bytes: 2,039,808, Working Set: 8,056,832"
